time,value
1662736918263,-2
1662736918273,-2
1662736918283,-2
1662736918293,-2
1662736918303,-1
1662736918313,-1
1662736918323,-1
1662736918333,-1
1662736918343,-1
1662736918353,-1
1662736918363,-1
1662736918373,-1
1662736918383,-1
1662736918393,-1
1662736918403,-1
1662736918413,-2
1662736918423,-2
1662736918433,-2
1662736918443,-2
1662736918453,-2
1662736918463,-2
1662736918473,-3
1662736918483,-3
1662736918493,-3
1662736918503,-3
1662736918512,-3
1662736918522,-3
1662736918532,-3
1662736918542,-3
1662736918552,-3
1662736918562,-3
1662736918572,-3
1662736918582,-3
1662736918592,-3
1662736918602,-3
1662736918612,-3
1662736918622,-3
1662736918632,-3
1662736918642,-3
1662736918652,-3
1662736918662,-4
1662736918672,-4
1662736918682,-4
1662736918692,-4
1662736918702,0
1662736918712,-4
1662736918722,-4
1662736918732,-4
1662736918742,-4
1662736918752,-4
1662736918761,-4
1662736918771,-4
1662736918781,-4
1662736918791,-4
1662736918801,-4
1662736918811,-4
1662736918821,-4
1662736918831,-4
1662736918841,-3
1662736918851,-3
1662736918862,-3
1662736918871,-3
1662736918881,-3
1662736918891,-3
1662736918901,-3
1662736918912,-3
1662736918921,-2
1662736918931,-2
1662736918941,-2
1662736918951,-2
1662736918961,-2
1662736918971,-2
1662736918981,-1
1662736918991,-1
1662736919001,-1
1662736919011,-1
1662736919020,0
1662736919030,0
1662736919040,0
1662736919050,0
1662736919060,0
1662736919070,0
1662736919080,0
1662736919090,0
1662736919100,0
1662736919110,0
1662736919120,0
1662736919130,0
1662736919140,0
1662736919150,0
1662736919160,0
1662736919170,0
1662736919180,0
1662736919190,0
1662736919200,0
1662736919210,0
1662736919220,0
1662736919230,0
1662736919240,0
1662736919250,0
1662736919260,0
1662736919270,0
1662736919279,0
1662736919289,0
1662736919299,0
1662736919309,0
1662736919319,0
1662736919329,0
1662736919339,0
1662736919349,0
1662736919359,0
1662736919369,0
1662736919379,0
1662736919389,0
1662736919399,0
1662736919409,0
1662736919419,0
1662736919429,0
1662736919439,0
1662736919449,0
1662736919459,0
1662736919469,0
1662736919479,0
1662736919489,0
1662736919499,0
1662736919509,0
1662736919519,0
1662736919529,0
1662736919538,0
1662736919548,0
1662736919558,0
1662736919568,0
1662736919578,0
1662736919588,0
1662736919598,0
1662736919608,0
1662736919618,0
1662736919628,0
1662736919638,0
1662736919648,0
1662736919658,0
1662736919668,0
1662736919678,0
1662736919688,0
1662736919698,0
1662736919708,0
1662736919718,0
1662736919728,0
