time,X,Y,Z
1662736918263,-231,22,-72
1662736918263,-231,22,-72
1662736918264,-230,23,-72
1662736918265,-230,22,-72
1662736918265,-231,22,-72
1662736918265,-230,22,-72
1662736918266,-230,22,-72
1662736918266,-232,22,-72
1662736918267,-232,20,-72
1662736918267,-231,20,-71
1662736918268,-232,22,-72
1662736918268,-233,22,-72
1662736918269,-233,21,-71
1662736918270,-233,22,-71
1662736918270,-235,22,-71
1662736918270,-234,22,-71
1662736918271,-235,20,-72
1662736918271,-234,21,-71
1662736918272,-235,20,-71
1662736918272,-235,22,-70
1662736918273,-236,22,-71
1662736918273,-235,22,-71
1662736918274,-236,21,-70
1662736918274,-237,23,-70
1662736918275,-235,23,-69
1662736918275,-237,23,-70
1662736918276,-237,24,-70
1662736918276,-235,25,-68
1662736918277,-235,23,-69
1662736918277,-236,22,-70
1662736918278,-236,22,-69
1662736918278,-236,23,-69
1662736918279,-236,22,-67
1662736918279,-236,22,-69
1662736918280,-235,22,-68
1662736918280,-235,23,-69
1662736918281,-234,23,-68
1662736918281,-236,23,-68
1662736918282,-236,22,-69
1662736918282,-235,23,-69
1662736918283,-235,23,-70
1662736918283,-236,22,-70
1662736918284,-234,23,-70
1662736918284,-235,22,-70
1662736918285,-235,21,-70
1662736918285,-236,22,-70
1662736918286,-235,22,-70
1662736918287,-236,22,-70
1662736918287,-234,20,-71
1662736918287,-235,21,-71
1662736918288,-233,22,-70
1662736918288,-233,20,-71
1662736918289,-233,21,-71
1662736918289,-234,21,-71
1662736918290,-233,22,-72
1662736918291,-233,22,-72
1662736918291,-233,21,-71
1662736918291,-234,21,-73
1662736918292,-233,22,-72
1662736918292,-232,22,-72
1662736918293,-231,23,-74
1662736918293,-232,22,-73
1662736918294,-232,23,-73
1662736918294,-232,23,-72
1662736918295,-231,23,-72
1662736918295,-230,22,-71
1662736918296,-231,21,-74
1662736918296,-232,23,-74
1662736918297,-232,23,-72
1662736918297,-233,23,-73
1662736918298,-233,23,-73
1662736918298,-231,23,-71
1662736918299,-233,23,-74
1662736918299,-233,23,-73
1662736918300,-232,23,-73
1662736918300,-232,23,-72
1662736918301,-232,23,-72
1662736918301,-233,24,-73
1662736918302,-233,24,-72
1662736918302,-233,24,-72
1662736918303,-234,23,-72
1662736918303,-233,23,-71
1662736918304,-232,23,-72
1662736918304,-233,24,-72
1662736918305,-232,24,-72
1662736918305,-235,24,-72
1662736918306,-234,23,-73
1662736918306,-234,24,-72
1662736918307,-235,25,-72
1662736918307,-235,25,-72
1662736918308,-234,25,-73
1662736918308,-235,24,-73
1662736918309,-234,26,-71
1662736918309,-236,25,-71
1662736918310,-234,25,-72
1662736918310,-235,25,-73
1662736918311,-235,24,-74
1662736918311,-235,26,-72
1662736918312,-235,25,-71
1662736918312,-235,25,-72
1662736918313,-235,25,-73
1662736918313,-236,25,-72
1662736918314,-234,26,-72
1662736918314,-235,25,-72
1662736918315,-234,26,-71
1662736918315,-234,25,-71
1662736918316,-234,25,-71
1662736918316,-234,24,-71
1662736918317,-234,25,-71
1662736918317,-234,24,-71
1662736918318,-234,25,-71
1662736918318,-235,24,-71
1662736918319,-234,25,-71
1662736918319,-234,24,-71
1662736918320,-234,24,-70
1662736918320,-234,25,-72
1662736918321,-234,24,-71
1662736918321,-235,23,-70
1662736918322,-234,24,-71
1662736918322,-235,25,-71
1662736918323,-234,24,-71
1662736918323,-235,24,-70
1662736918324,-236,23,-69
1662736918324,-234,24,-70
1662736918325,-235,24,-71
1662736918325,-235,23,-70
1662736918326,-236,23,-70
1662736918326,-234,24,-70
1662736918327,-235,25,-70
1662736918327,-236,25,-69
1662736918328,-235,24,-69
1662736918328,-234,24,-70
1662736918329,-235,24,-70
1662736918329,-234,24,-69
1662736918330,-235,24,-69
1662736918330,-236,24,-70
1662736918331,-235,24,-70
1662736918331,-234,24,-70
1662736918332,-235,25,-69
1662736918332,-235,23,-70
1662736918333,-236,24,-71
1662736918333,-235,23,-70
1662736918334,-235,23,-70
1662736918334,-237,23,-70
1662736918335,-235,23,-71
1662736918335,-235,24,-71
1662736918336,-234,23,-71
1662736918336,-234,24,-71
1662736918337,-233,25,-70
1662736918337,-234,24,-70
1662736918338,-234,24,-70
1662736918338,-234,23,-69
1662736918339,-235,24,-70
1662736918339,-235,25,-70
1662736918340,-236,24,-70
1662736918340,-236,24,-69
1662736918341,-236,25,-69
1662736918341,-236,24,-69
1662736918342,-234,24,-69
1662736918342,-237,24,-69
1662736918343,-237,26,-68
1662736918343,-236,26,-69
1662736918344,-236,25,-69
1662736918344,-236,27,-68
1662736918345,-235,26,-69
1662736918345,-234,26,-68
1662736918346,-234,28,-69
1662736918346,-236,26,-68
1662736918347,-235,27,-67
1662736918347,-235,27,-68
1662736918348,-235,28,-68
1662736918348,-234,27,-67
1662736918349,-235,27,-67
1662736918349,-235,29,-66
1662736918350,-234,28,-68
1662736918350,-235,27,-68
1662736918351,-234,28,-68
1662736918351,-234,28,-67
1662736918352,-233,29,-66
1662736918352,-235,28,-69
1662736918353,-234,28,-67
1662736918353,-235,28,-66
1662736918354,-234,28,-66
1662736918354,-235,28,-66
1662736918355,-234,29,-67
1662736918355,-234,26,-69
1662736918356,-234,28,-68
1662736918356,-235,27,-69
1662736918357,-235,28,-67
1662736918357,-234,28,-68
1662736918358,-233,27,-69
1662736918358,-234,27,-69
1662736918359,-235,25,-70
1662736918359,-234,26,-69
1662736918360,-235,27,-70
1662736918360,-233,23,-70
1662736918361,-235,25,-71
1662736918361,-234,23,-71
1662736918362,-236,26,-70
1662736918362,-236,26,-70
1662736918363,-235,25,-70
1662736918363,-236,24,-72
1662736918364,-234,24,-71
1662736918364,-235,24,-71
1662736918365,-236,24,-71
1662736918365,-236,25,-71
1662736918366,-237,24,-71
1662736918366,-236,25,-71
1662736918367,-235,24,-70
1662736918367,-236,24,-71
1662736918368,-237,23,-72
1662736918368,-237,24,-72
1662736918369,-237,24,-70
1662736918369,-237,23,-71
1662736918370,-238,22,-72
1662736918370,-237,24,-71
1662736918371,-237,24,-72
1662736918371,-237,24,-71
1662736918372,-238,22,-70
1662736918372,-237,24,-70
1662736918373,-237,23,-71
1662736918373,-237,22,-71
1662736918374,-237,23,-70
1662736918374,-239,23,-70
1662736918374,-237,23,-71
1662736918375,-238,22,-71
1662736918376,-237,23,-71
1662736918376,-237,23,-71
1662736918377,-237,22,-71
1662736918377,-237,25,-71
1662736918377,-238,22,-71
1662736918378,-238,22,-71
1662736918378,-237,24,-72
1662736918379,-238,24,-70
1662736918379,-236,24,-71
1662736918380,-237,25,-72
1662736918380,-237,24,-72
1662736918381,-237,24,-72
1662736918381,-237,25,-73
1662736918382,-236,24,-72
1662736918382,-236,24,-73
1662736918383,-237,24,-74
1662736918384,-237,23,-73
1662736918384,-237,23,-74
1662736918384,-236,24,-73
1662736918385,-236,24,-73
1662736918385,-235,24,-74
1662736918386,-237,25,-73
1662736918386,-236,24,-73
1662736918387,-235,24,-74
1662736918387,-236,24,-74
1662736918388,-237,24,-73
1662736918388,-237,24,-73
1662736918389,-237,25,-74
1662736918389,-236,24,-73
1662736918390,-237,23,-73
1662736918390,-237,26,-73
1662736918391,-236,26,-73
1662736918391,-236,25,-73
1662736918392,-235,26,-72
1662736918392,-237,26,-73
1662736918393,-235,26,-72
1662736918394,-236,25,-73
1662736918394,-235,26,-72
1662736918394,-237,26,-73
1662736918395,-237,26,-72
1662736918395,-236,26,-72
1662736918396,-236,25,-73
1662736918396,-235,27,-72
1662736918397,-236,25,-72
1662736918397,-235,25,-71
1662736918398,-235,25,-69
1662736918398,-236,26,-70
1662736918399,-236,25,-71
1662736918399,-234,26,-72
1662736918400,-236,25,-71
1662736918400,-234,25,-71
1662736918401,-235,25,-72
1662736918401,-235,24,-71
1662736918402,-235,25,-71
1662736918402,-234,25,-72
1662736918403,-235,26,-72
1662736918404,-233,25,-71
1662736918404,-235,26,-72
1662736918404,-234,25,-72
1662736918405,-234,26,-71
1662736918405,-234,25,-71
1662736918406,-233,26,-72
1662736918406,-235,25,-73
1662736918407,-234,26,-71
1662736918407,-234,27,-71
1662736918408,-234,26,-71
1662736918408,-233,26,-72
1662736918409,-235,26,-71
1662736918409,-234,26,-72
1662736918410,-234,27,-71
1662736918410,-236,26,-71
1662736918411,-235,27,-72
1662736918411,-234,27,-72
1662736918412,-237,26,-73
1662736918412,-234,26,-72
1662736918413,-236,25,-72
1662736918414,-235,27,-72
1662736918414,-235,26,-72
1662736918414,-236,27,-72
1662736918415,-236,26,-73
1662736918415,-236,26,-72
1662736918416,-236,27,-71
1662736918416,-237,27,-72
1662736918417,-235,26,-73
1662736918417,-237,26,-72
1662736918418,-237,26,-71
1662736918418,-237,25,-71
1662736918419,-236,25,-72
1662736918419,-235,26,-71
1662736918420,-237,25,-71
1662736918420,-236,25,-71
1662736918421,-234,25,-71
1662736918421,-237,25,-71
1662736918422,-237,25,-71
1662736918422,-237,25,-71
1662736918423,-236,25,-70
1662736918424,-236,25,-71
1662736918424,-237,24,-72
1662736918424,-236,26,-71
1662736918425,-237,24,-70
1662736918425,-237,23,-70
1662736918426,-238,24,-71
1662736918426,-239,25,-71
1662736918427,-239,24,-70
1662736918427,-238,24,-70
1662736918428,-238,24,-70
1662736918428,-237,24,-71
1662736918429,-237,23,-70
1662736918429,-238,24,-70
1662736918430,-239,23,-71
1662736918430,-238,24,-70
1662736918431,-239,24,-70
1662736918431,-240,24,-70
1662736918432,-239,23,-71
1662736918432,-239,24,-69
1662736918433,-240,23,-69
1662736918434,-238,23,-70
1662736918434,-239,23,-70
1662736918434,-238,23,-71
1662736918435,-238,23,-70
1662736918435,-239,23,-70
1662736918436,-239,22,-69
1662736918436,-238,22,-71
1662736918437,-237,22,-70
1662736918437,-238,21,-70
1662736918438,-239,22,-70
1662736918438,-239,23,-70
1662736918439,-240,22,-70
1662736918439,-238,22,-70
1662736918440,-239,21,-70
1662736918440,-237,22,-69
1662736918441,-238,22,-68
1662736918441,-238,22,-69
1662736918442,-238,21,-70
1662736918442,-237,22,-69
1662736918443,-236,21,-69
1662736918443,-237,22,-69
1662736918444,-238,22,-69
1662736918444,-236,21,-70
1662736918445,-236,22,-70
1662736918445,-236,22,-69
1662736918446,-236,22,-68
1662736918446,-237,22,-70
1662736918447,-235,22,-69
1662736918447,-235,23,-70
1662736918448,-236,21,-68
1662736918448,-235,22,-69
1662736918449,-236,24,-70
1662736918449,-234,22,-70
1662736918450,-236,23,-70
1662736918450,-233,23,-70
1662736918451,-234,23,-69
1662736918451,-234,23,-70
1662736918452,-234,24,-71
1662736918452,-235,23,-70
1662736918453,-235,23,-69
1662736918453,-234,25,-70
1662736918454,-234,25,-70
1662736918454,-236,24,-70
1662736918455,-235,26,-71
1662736918455,-236,25,-70
1662736918456,-235,25,-69
1662736918456,-237,24,-72
1662736918457,-236,24,-72
1662736918457,-236,24,-72
1662736918458,-236,25,-71
1662736918458,-235,24,-71
1662736918459,-236,26,-71
1662736918459,-235,25,-72
1662736918460,-236,25,-73
1662736918460,-236,25,-72
1662736918461,-237,25,-73
1662736918461,-237,25,-73
1662736918462,-235,24,-73
1662736918462,-236,25,-73
1662736918463,-236,24,-73
1662736918463,-235,25,-73
1662736918464,-237,26,-73
1662736918464,-236,26,-74
1662736918465,-236,26,-73
1662736918465,-235,26,-72
1662736918466,-237,26,-73
1662736918466,-236,26,-73
1662736918467,-236,26,-73
1662736918467,-235,26,-72
1662736918468,-236,26,-73
1662736918468,-235,26,-74
1662736918469,-237,25,-74
1662736918469,-237,26,-73
1662736918470,-237,26,-73
1662736918470,-237,27,-73
1662736918471,-236,28,-71
1662736918471,-235,28,-72
1662736918472,-238,28,-72
1662736918472,-237,27,-72
1662736918473,-237,28,-72
1662736918473,-237,27,-71
1662736918474,-236,28,-72
1662736918474,-236,28,-70
1662736918475,-237,28,-71
1662736918475,-236,28,-72
1662736918476,-236,27,-72
1662736918476,-235,29,-72
1662736918477,-236,28,-71
1662736918477,-236,28,-73
1662736918478,-235,27,-72
1662736918478,-237,28,-72
1662736918479,-234,27,-72
1662736918479,-234,27,-72
1662736918480,-233,28,-72
1662736918480,-232,27,-71
1662736918481,-234,26,-71
1662736918481,-233,27,-71
1662736918482,-232,28,-73
1662736918482,-233,27,-71
1662736918483,-232,27,-72
1662736918483,-232,27,-70
1662736918484,-232,27,-71
1662736918484,-231,27,-71
1662736918485,-232,26,-71
1662736918485,-232,26,-71
1662736918486,-231,27,-70
1662736918486,-231,26,-71
1662736918487,-231,26,-70
1662736918487,-232,27,-70
1662736918488,-232,25,-68
1662736918488,-231,25,-70
1662736918489,-231,26,-69
1662736918489,-233,26,-69
1662736918490,-231,27,-68
1662736918490,-232,26,-69
1662736918491,-231,26,-67
1662736918491,-231,25,-69
1662736918492,-232,26,-68
